Mn_ID,Cpt_ID,Ext_ID,concept_id,extra_icd10_block,extra_icd10_chapter,name,icd10_map_type,icd10_code,icd10_name,ciel_map_type,ciel_code,ncod_concept_url,icd10_concept_url,ciel_concept_url
111,302,321,1791,D50,"Blood, Immune System",Anaemia (Iron deficiency anaemia),Same as,D50.9,"Iron deficiency anaemia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1791/,/orgs/WHO/sources/ICD-10-WHO/concepts/D50.9/,
,303,322,1860,D60,"Blood, Immune System",Anaemia (Idiopathic aplastic anaemia),Same as,D61.3,Idiopathic aplastic anaemia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1860/,/orgs/WHO/sources/ICD-10-WHO/concepts/D61.3/,
,304,323,1861,D60,"Blood, Immune System",Pancytopenia (Other specified aplastic anaemias),Narrower than,D61.8,Other specified aplastic anaemias,SAME-AS,148106,/orgs/EthiopiaMOH/sources/NCoD/concepts/1861/,/orgs/WHO/sources/ICD-10-WHO/concepts/D61.8/,/orgs/CIEL/sources/CIEL/concepts/148106/
,305,324,1863,D60,"Blood, Immune System",Anaemia (Acute posthaemorrhagic anaemia),Same as,D62,Acute posthaemorrhagic anaemia,SAME-AS,149566,/orgs/EthiopiaMOH/sources/NCoD/concepts/1863/,/orgs/WHO/sources/ICD-10-WHO/concepts/D62/,/orgs/CIEL/sources/CIEL/concepts/149566/
112,306,325,1873,D60,"Blood, Immune System",Other specified anaemias,Same as,D64.8,Other specified anaemias,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1873/,/orgs/WHO/sources/ICD-10-WHO/concepts/D64.8/,
113,307,326,1874,D60,"Blood, Immune System","Anaemia (Anaemia, unspecified)",Same as,D64.9,"Anaemia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1874/,/orgs/WHO/sources/ICD-10-WHO/concepts/D64.9/,
,308,327,1883,D65,"Blood, Immune System",Papulosquamous Diseases (Acquired coagulation factor deficiency),Same as,D68.4,Acquired coagulation factor deficiency,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1883/,/orgs/WHO/sources/ICD-10-WHO/concepts/D68.4/,
,309,328,1889,D65,"Blood, Immune System",Purpura (Allergic purpura),Same as,D69.0,Allergic purpura,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1889/,/orgs/WHO/sources/ICD-10-WHO/concepts/D69.0/,
,310,329,1895,D65,"Blood, Immune System","Thrombocytopenia (Thrombocytopenia, unspecified)",Same as,D69.6,"Thrombocytopenia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1895/,/orgs/WHO/sources/ICD-10-WHO/concepts/D69.6/,
,311,330,1906,D70,"Blood, Immune System",Hyposplenism,Same as,D73.0,Hyposplenism,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1906/,/orgs/WHO/sources/ICD-10-WHO/concepts/D73.0/,
,312,331,1907,D70,"Blood, Immune System",Hypersplenism,Same as,D73.1,Hypersplenism,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1907/,/orgs/WHO/sources/ICD-10-WHO/concepts/D73.1/,
,313,332,1920,D70,"Blood, Immune System",Secondary polycythaemia,Same as,D75.1,Secondary polycythaemia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1920/,/orgs/WHO/sources/ICD-10-WHO/concepts/D75.1/,
,314,333,1927,D70,"Blood, Immune System",Blood And Blood-Forming Organs (Other),Same as,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1927/,/orgs/WHO/sources/ICD-10-WHO/concepts/D77/,
,315,334,1943,D80,"Blood, Immune System",Leg Ulcers (Adenosine deaminase [ADA] deficiency),Same as,D81.3,Adenosine deaminase [ADA] deficiency,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1943/,/orgs/WHO/sources/ICD-10-WHO/concepts/D81.3/,
114,316,335,1968,D80,"Blood, Immune System","Immunodeficiency (Immunodeficiency, unspecified)",Same as,D84.9,"Immunodeficiency, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/1968/,/orgs/WHO/sources/ICD-10-WHO/concepts/D84.9/,
136,419,440,2414,F00,Mental & Behavioral Disease,Dimentia (Unspecified dementia),Same as,F03,Unspecified dementia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2414/,/orgs/WHO/sources/ICD-10-WHO/concepts/F03/,
,,441,2416,F00,Mental & Behavioral Disease,"Delirium (Delirium, not induced by alcohol and other psychoactive substances)",Same as,F05.9,"Delirium, not induced by alcohol and other psychoactive substances",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2416/,/orgs/WHO/sources/ICD-10-WHO/concepts/F05.9/,
,,442,2419,F00,Mental & Behavioral Disease,Delirium (Other delirium),Same as,F05.8,Other delirium,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2419/,/orgs/WHO/sources/ICD-10-WHO/concepts/F05.8/,
,,443,2429,F00,Mental & Behavioral Disease,Mild cognitive disorder,Same as,F06.7,Mild cognitive disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2429/,/orgs/WHO/sources/ICD-10-WHO/concepts/F06.7/,
,420,444,2439,F10,Mental & Behavioral Disease,Alcohol Dependence (Mental and behavioural disorders due to use of alcohol),Same as,F10.9,Mental and behavioural disorders due to use of alcohol : unspecified mental and behavioural disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2439/,/orgs/WHO/sources/ICD-10-WHO/concepts/F10.9/,
137,421,445,2442,F10,Mental & Behavioral Disease,Alcohol (Mental and behavioural disorders due to use of alcohol: Dependence syndrome),Same as,F10.2,Mental and behavioural disorders due to use of alcohol: Dependence syndrome,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2442/,/orgs/WHO/sources/ICD-10-WHO/concepts/F10.2/,
,422,446,2448,F10,Mental & Behavioral Disease,Mental And Behavioural Disorders (due to use of alcohol: Other mental and behavioural disorders),Same as,F10.8,Mental and behavioural disorders due to use of alcohol: Other mental and behavioural disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2448/,/orgs/WHO/sources/ICD-10-WHO/concepts/F10.8/,
138,423,447,2465,F10,Mental & Behavioral Disease,Drugs (Mental and behavioural disorders due to use of cannabinoids: Withdrawal state),Same as,F12.3,Mental and behavioural disorders due to use of cannabinoids: Withdrawal state,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2465/,/orgs/WHO/sources/ICD-10-WHO/concepts/F12.3/,
,425,449,2550,F20,Mental & Behavioral Disease,Schizophrenia (Paranoid schizophrenia),Same as,F20.0,Paranoid schizophrenia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2550/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.0/,
,426,450,2552,F20,Mental & Behavioral Disease,Schizophrenia (Catatonic schizophrenia),Same as,F20.2,Catatonic schizophrenia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2552/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.2/,
,427,451,2553,F20,Mental & Behavioral Disease,Schizophrenia (Undifferentiated schizophrenia),Same as,F20.3,Undifferentiated schizophrenia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2553/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.3/,
,428,452,2555,F20,Mental & Behavioral Disease,Schizophrenia (Residual schizophrenia),Same as,F20.5,Residual schizophrenia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2555/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.5/,
,,453,2557,F20,Mental & Behavioral Disease,Schizophrenia (Other schizophrenia),Same as,F20.8,Other schizophrenia,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2557/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.8/,
139,429,454,2558,F20,Mental & Behavioral Disease,"Schizophrenia (Schizophrenia, unspecified)",Same as,F20.9,"Schizophrenia, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2558/,/orgs/WHO/sources/ICD-10-WHO/concepts/F20.9/,
,430,455,2559,F20,Mental & Behavioral Disease,Schizotypal disorder,Same as,F21,Schizotypal disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2559/,/orgs/WHO/sources/ICD-10-WHO/concepts/F21/,
,431,456,2560,F20,Mental & Behavioral Disease,Delusional Disorder (Persistent delusional disorders),Same as,F22.9,"Persistent delusional disorders, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2560/,/orgs/WHO/sources/ICD-10-WHO/concepts/F22.9/,
140,432,457,2561,F20,Mental & Behavioral Disease,Delusion (Delusional disorder),Same as,F22.0,Delusional disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2561/,/orgs/WHO/sources/ICD-10-WHO/concepts/F22.0/,
141,433,458,2564,F20,Mental & Behavioral Disease,Psychotic Disorder (Acute and transient psychotic disorders),Same as,F23.9,"Acute and transient psychotic disorders, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2564/,/orgs/WHO/sources/ICD-10-WHO/concepts/F23.9/,
142,434,459,2569,F20,Mental & Behavioral Disease,Psychotic Disorder (Other acute and transient psychotic disorders),Same as,F23.8,Other acute and transient psychotic disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2569/,/orgs/WHO/sources/ICD-10-WHO/concepts/F23.8/,
,435,460,2572,F20,Mental & Behavioral Disease,Schizoaffective disorders,Same as,F25.9,"Schizoaffective disorders, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2572/,/orgs/WHO/sources/ICD-10-WHO/concepts/F25.9/,
,436,461,2579,F20,Mental & Behavioral Disease,Unspecified nonorganic psychosis,Same as,F29,Unspecified nonorganic psychosis,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2579/,/orgs/WHO/sources/ICD-10-WHO/concepts/F29/,
,438,463,2581,F30,Mental & Behavioral Disease,Hypomania,Same as,F30.0,Hypomania,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2581/,/orgs/WHO/sources/ICD-10-WHO/concepts/F30.0/,
,439,464,2582,F30,Mental & Behavioral Disease,Mania without psychotic symptoms,Same as,F30.1,Mania without psychotic symptoms,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2582/,/orgs/WHO/sources/ICD-10-WHO/concepts/F30.1/,
,440,465,2583,F30,Mental & Behavioral Disease,Mania with psychotic symptoms,Same as,F30.2,Mania with psychotic symptoms,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2583/,/orgs/WHO/sources/ICD-10-WHO/concepts/F30.2/,
,441,466,2585,F30,Mental & Behavioral Disease,"Manic episode, unspecified",Same as,F30.9,"Manic episode, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2585/,/orgs/WHO/sources/ICD-10-WHO/concepts/F30.9/,
,442,467,2586,F30,Mental & Behavioral Disease,Bipolar affective disorder,Same as,F31.9,"Bipolar affective disorder, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2586/,/orgs/WHO/sources/ICD-10-WHO/concepts/F31.9/,
,,468,2588,F30,Mental & Behavioral Disease,"Bipolar Disorder (Bipolar affective disorder, current episode manic without psychotic symptoms)",Same as,F31.1,"Bipolar affective disorder, current episode manic without psychotic symptoms",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2588/,/orgs/WHO/sources/ICD-10-WHO/concepts/F31.1/,
,,469,2589,F30,Mental & Behavioral Disease,"Bipolar Disorder (Bipolar affective disorder, current episode manic with psychotic symptoms)",Same as,F31.2,"Bipolar affective disorder, current episode manic with psychotic symptoms",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2589/,/orgs/WHO/sources/ICD-10-WHO/concepts/F31.2/,
,,470,2590,F30,Mental & Behavioral Disease,"Bipolar Disorder (Bipolar affective disorder, current episode mild or moderate depression)",Same as,F31.3,"Bipolar affective disorder, current episode mild or moderate depression",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2590/,/orgs/WHO/sources/ICD-10-WHO/concepts/F31.3/,
143,443,471,2595,F30,Mental & Behavioral Disease,Bipolar Disorder (Other bipolar affective disorders),Same as,F31.8,Other bipolar affective disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2595/,/orgs/WHO/sources/ICD-10-WHO/concepts/F31.8/,
144,444,472,2597,F30,Mental & Behavioral Disease,Depression (Depressive episode),Same as,F32.9,"Depressive episode, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2597/,/orgs/WHO/sources/ICD-10-WHO/concepts/F32.9/,
,445,473,2630,F40,Mental & Behavioral Disease,Anxiety State (Generalized anxiety disorder),Same as,F41.1,Generalized anxiety disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2630/,/orgs/WHO/sources/ICD-10-WHO/concepts/F41.1/,
145,446,474,2633,F40,Mental & Behavioral Disease,Anxiety (Other specified anxiety disorders),Same as,F41.8,Other specified anxiety disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2633/,/orgs/WHO/sources/ICD-10-WHO/concepts/F41.8/,
146,447,475,2643,F40,Mental & Behavioral Disease,Stress Disorder (Post-traumatic stress disorder),Same as,F43.1,Post-traumatic stress disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2643/,/orgs/WHO/sources/ICD-10-WHO/concepts/F43.1/,
,448,476,2644,F40,Mental & Behavioral Disease,Adjustment Disorders,Same as,F43.2,Adjustment disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2644/,/orgs/WHO/sources/ICD-10-WHO/concepts/F43.2/,
,449,477,2647,F40,Mental & Behavioral Disease,Dissociative [Conversion] Disorders,Same as,F44.9,"Dissociative [conversion] disorder, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2647/,/orgs/WHO/sources/ICD-10-WHO/concepts/F44.9/,
,450,478,2661,F40,Mental & Behavioral Disease,Hypochondriasis (Hypochondriacal disorder),Same as,F45.2,Hypochondriacal disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2661/,/orgs/WHO/sources/ICD-10-WHO/concepts/F45.2/,
,,479,2663,F40,Mental & Behavioral Disease,Pain (Persistent somatoform pain disorder),Same as,F45.4,Persistent somatoform pain disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2663/,/orgs/WHO/sources/ICD-10-WHO/concepts/F45.4/,
,451,480,2669,F40,Mental & Behavioral Disease,Psychogenic Syncope (Other specified neurotic disorders),Same as,F48.8,Other specified neurotic disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2669/,/orgs/WHO/sources/ICD-10-WHO/concepts/F48.8/,
147,452,481,2670,F40,Mental & Behavioral Disease,"Neurosis (Neurotic disorder, unspecified)",Same as,F48.9,"Neurotic disorder, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2670/,/orgs/WHO/sources/ICD-10-WHO/concepts/F48.9/,
,453,482,2694,F50,Mental & Behavioral Disease,Premature Ejaculation,Same as,F52.4,Premature ejaculation,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2694/,/orgs/WHO/sources/ICD-10-WHO/concepts/F52.4/,
,454,483,2712,F60,Mental & Behavioral Disease,Personality Disorder (Emotionally unstable personality disorder),Same as,F60.3,Emotionally unstable personality disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2712/,/orgs/WHO/sources/ICD-10-WHO/concepts/F60.3/,
,455,484,2717,F60,Mental & Behavioral Disease,Personality Disorder (Other specific personality disorders),Same as,F60.8,Other specific personality disorders,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2717/,/orgs/WHO/sources/ICD-10-WHO/concepts/F60.8/,
,456,485,2718,F60,Mental & Behavioral Disease,"Personality Disorder (Personality disorder, unspecified)",Same as,F60.9,"Personality disorder, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2718/,/orgs/WHO/sources/ICD-10-WHO/concepts/F60.9/,
,457,486,2806,F80,Mental & Behavioral Disease,Autism (Childhood autism),Same as,F84.0,Childhood autism,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2806/,/orgs/WHO/sources/ICD-10-WHO/concepts/F84.0/,
,458,487,2811,F80,Mental & Behavioral Disease,Autistic Psychopathy (Asperger syndrome),Same as,F84.5,Asperger syndrome,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2811/,/orgs/WHO/sources/ICD-10-WHO/concepts/F84.5/,
,,488,2817,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Disturbance of activity and attention),Same as,F90.0,Disturbance of activity and attention,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2817/,/orgs/WHO/sources/ICD-10-WHO/concepts/F90.0/,
,,489,2818,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Hyperkinetic conduct disorder),Same as,F90.1,Hyperkinetic conduct disorder,,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2818/,/orgs/WHO/sources/ICD-10-WHO/concepts/F90.1/,
,459,490,2820,F90,Mental & Behavioral Disease,"Attention-Deficit Hyperactivity Disorder (Hyperkinetic disorder, unspecified)",Same as,F90.9,"Hyperkinetic disorder, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2820/,/orgs/WHO/sources/ICD-10-WHO/concepts/F90.9/,
,,491,2828,F90,Mental & Behavioral Disease,Attention-Deficit Hyperactivity Disorder (Mixed disorders of conduct and emotions),Same as,F92.9,"Mixed disorders of conduct and emotions, unspecified",,,/orgs/EthiopiaMOH/sources/NCoD/concepts/2828/,/orgs/WHO/sources/ICD-10-WHO/concepts/F92.9/,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,