en_name_preferred,en_name_non_preferred_1,en_name_non_preferred_2,en_name_non_preferred_3,en_name_non_preferred_4,en_name_non_preferred_5,fr_name_preferred,fr_name_non_preferred_1,fr_name_non_preferred_2,fr_name_non_preferred_3,fr_name_non_preferred_4,fr_name_non_preferred_5,ISO-639-2.1,ISO-639-2.2,ISO-639-1
Kru languages,,,,,,"krou, langues",,,,,,kro,,
Kuanyama,Kwanyama,,,,,kuanyama,kwanyama,,,,,kua,,kj
Kumyk,,,,,,koumyk,,,,,,kum,,
Kurdish,,,,,,kurde,,,,,,kur,,ku
Kurukh,,,,,,kurukh,,,,,,kru,,
Kutenai,,,,,,kutenai,,,,,,kut,,
Ladino,,,,,,judéo-espagnol,,,,,,lad,,
Lahnda,,,,,,lahnda,,,,,,lah,,
Lamba,,,,,,lamba,,,,,,lam,,
Land Dayak languages,,,,,,"dayak, langues",,,,,,day,,
Lao,,,,,,lao,,,,,,lao,,lo
Latin,,,,,,latin,,,,,,lat,,la
Latvian,,,,,,letton,,,,,,lav,,lv
Letzeburgesch,Luxembourgish,,,,,luxembourgeois,,,,,,ltz,,lb
Lezghian,,,,,,lezghien,,,,,,lez,,
Limburgan,Limburger,Limburgish,,,,limbourgeois,,,,,,lim,,li
Lingala,,,,,,lingala,,,,,,lin,,ln
Lithuanian,,,,,,lituanien,,,,,,lit,,lt
Lojban,,,,,,lojban,,,,,,jbo,,
Low German,Low Saxon,"German, Low","Saxon, Low",,,bas allemand,bas saxon,"allemand, bas","saxon, bas",,,nds,,
Lower Sorbian,,,,,,bas-sorabe,,,,,,dsb,,
Lozi,,,,,,lozi,,,,,,loz,,
Luba-Katanga,,,,,,luba-katanga,,,,,,lub,,lu
Luba-Lulua,,,,,,luba-lulua,,,,,,lua,,
Luiseno,,,,,,luiseno,,,,,,lui,,
Lule Sami,,,,,,sami de Lule,,,,,,smj,,
Lunda,,,,,,lunda,,,,,,lun,,
Luo (Kenya and Tanzania),,,,,,luo (Kenya et Tanzanie),,,,,,luo,,
Lushai,,,,,,lushai,,,,,,lus,,
Macedonian,,,,,,macédonien,,,,,,mac,mkd,mk
Madurese,,,,,,madourais,,,,,,mad,,
Magahi,,,,,,magahi,,,,,,mag,,
Maithili,,,,,,maithili,,,,,,mai,,
Makasar,,,,,,makassar,,,,,,mak,,
Malagasy,,,,,,malgache,,,,,,mlg,,mg
Malay,,,,,,malais,,,,,,may,msa,ms
Malayalam,,,,,,malayalam,,,,,,mal,,ml
Maltese,,,,,,maltais,,,,,,mlt,,mt
Manchu,,,,,,mandchou,,,,,,mnc,,
Mandar,,,,,,mandar,,,,,,mdr,,
Mandingo,,,,,,mandingue,,,,,,man,,
Manipuri,,,,,,manipuri,,,,,,mni,,
Manobo languages,,,,,,"manobo, langues",,,,,,mno,,
Manx,,,,,,manx,mannois,,,,,glv,,gv
Maori,,,,,,maori,,,,,,mao,mri,mi
Mapuche,Mapudungun,,,,,mapudungun,mapuche,mapuce,,,,arn,,
Marathi,,,,,,marathe,,,,,,mar,,mr
Mari,,,,,,mari,,,,,,chm,,
Marshallese,,,,,,marshall,,,,,,mah,,mh
Marwari,,,,,,marvari,,,,,,mwr,,
Masai,,,,,,massaï,,,,,,mas,,
Mayan languages,,,,,,"maya, langues",,,,,,myn,,
Mende,,,,,,mendé,,,,,,men,,
Mi'kmaq,Micmac,,,,,mi'kmaq,micmac,,,,,mic,,
Minangkabau,,,,,,minangkabau,,,,,,min,,
Mirandese,,,,,,mirandais,,,,,,mwl,,
Mohawk,,,,,,mohawk,,,,,,moh,,
Moksha,,,,,,moksa,,,,,,mdf,,
Mon-Khmer languages,,,,,,"môn-khmer, langues",,,,,,mkh,,
Mongo,,,,,,mongo,,,,,,lol,,
Mongolian,,,,,,mongol,,,,,,mon,,mn
Mossi,,,,,,moré,,,,,,mos,,
Multiple languages,,,,,,multilingue,,,,,,mul,,
Munda languages,,,,,,"mounda, langues",,,,,,mun,,
N'Ko,,,,,,n'ko,,,,,,nqo,,
Nahuatl languages,,,,,,"nahuatl, langues",,,,,,nah,,
Nauru,,,,,,nauruan,,,,,,nau,,na
Navajo,Navaho,,,,,navaho,,,,,,nav,,nv
"Ndebele, North",North Ndebele,,,,,ndébélé du Nord,,,,,,nde,,nd
"Ndebele, South",South Ndebele,,,,,ndébélé du Sud,,,,,,nbl,,nr
Ndonga,,,,,,ndonga,,,,,,ndo,,ng
Neapolitan,,,,,,napolitain,,,,,,nap,,
Nepali,,,,,,népalais,,,,,,nep,,ne
Newari,Nepal Bhasa,,,,,nepal bhasa,newari,,,,,new,,
Nias,,,,,,nias,,,,,,nia,,
Niger-Kordofanian languages,,,,,,"nigéro-kordofaniennes, langues",,,,,,nic,,
Nilo-Saharan languages,,,,,,"nilo-sahariennes, langues",,,,,,ssa,,
Niuean,,,,,,niué,,,,,,niu,,
No linguistic content,Not applicable,,,,,pas de contenu linguistique,non applicable,,,,,zxx,,
Nogai,,,,,,nogaï,nogay,,,,,nog,,
"Norse, Old",,,,,,"norrois, vieux",,,,,,non,,
North American Indian languages,,,,,,"nord-amérindiennes, langues",,,,,,nai,,
Northern Frisian,,,,,,frison septentrional,,,,,,frr,,
Northern Sami,,,,,,sami du Nord,,,,,,sme,,se
Northern Sotho,Pedi,Sepedi,,,,pedi,sepedi,sotho du Nord,,,,nso,,
Norwegian,,,,,,norvégien,,,,,,nor,,no
Norwegian Bokmål,"Bokmål, Norwegian",,,,,norvégien bokmål,,,,,,nob,,nb
Norwegian Nynorsk,"Nynorsk, Norwegian",,,,,norvégien nynorsk,"nynorsk, norvégien",,,,,nno,,nn
Nubian languages,,,,,,"nubiennes, langues",,,,,,nub,,
Nyamwezi,,,,,,nyamwezi,,,,,,nym,,
Nyankole,,,,,,nyankolé,,,,,,nyn,,
Nyoro,,,,,,nyoro,,,,,,nyo,,
Nzima,,,,,,nzema,,,,,,nzi,,
Occidental,Interlingue,,,,,interlingue,,,,,,ile,,ie
Occitan (post 1500),,,,,,occitan (après 1500),,,,,,oci,,oc
"Occitan, Old (to 1500)","Provençal, Old (to 1500)",,,,,provençal ancien (jusqu'à 1500),occitan ancien (jusqu'à 1500),,,,,pro,,
Ojibwa,,,,,,ojibwa,,,,,,oji,,oj
Old Bulgarian,Church Slavic,Old Slavonic,Church Slavonic,Old Church Slavonic,,slavon d'église,vieux slave,slavon liturgique,vieux bulgare,,,chu,,cu
Oriya,,,,,,oriya,,,,,,ori,,or
Oromo,,,,,,galla,,,,,,orm,,om
Osage,,,,,,osage,,,,,,osa,,
Ossetian,Ossetic,,,,,ossète,,,,,,oss,,os
Otomian languages,,,,,,"otomi, langues",,,,,,oto,,
Pahlavi,,,,,,pahlavi,,,,,,pal,,
Palauan,,,,,,palau,,,,,,pau,,
Pali,,,,,,pali,,,,,,pli,,pi
Pampanga,Kapampangan,,,,,pampangan,,,,,,pam,,
Pangasinan,,,,,,pangasinan,,,,,,pag,,
Papiamento,,,,,,papiamento,,,,,,pap,,
Papuan languages,,,,,,"papoues, langues",,,,,,paa,,
Pashto,Pashto,,,,,pachto,,,,,,pus,,ps
Persian,,,,,,persan,,,,,,per,fas,fa
"Persian, Old (ca.600-400 B.C.)",,,,,,"perse, vieux (ca. 600-400 av. J.-C.)",,,,,,peo,,
Philippine languages,,,,,,"philippines, langues",,,,,,phi,,
Phoenician,,,,,,phénicien,,,,,,phn,,
Pohnpeian,,,,,,pohnpei,,,,,,pon,,
Polish,,,,,,polonais,,,,,,pol,,pl
Portuguese,,,,,,portugais,,,,,,por,,pt
Prakrit languages,,,,,,"prâkrit, langues",,,,,,pra,,
Punjabi,Panjabi,,,,,pendjabi,,,,,,pan,,pa
Quechua,,,,,,quechua,,,,,,que,,qu
Rajasthani,,,,,,rajasthani,,,,,,raj,,
Rapanui,,,,,,rapanui,,,,,,rap,,
Rarotongan,Cook Islands Maori,,,,,rarotonga,maori des îles Cook,,,,,rar,,
Romance languages,,,,,,"romanes, langues",,,,,,roa,,
Romanian,Moldavian,Moldovan,,,,roumain,moldave,,,,,rum,ron,ro
Romansh,,,,,,romanche,,,,,,roh,,rm
Romany,,,,,,tsigane,,,,,,rom,,
Rundi,,,,,,rundi,,,,,,run,,rn
Russian,,,,,,russe,,,,,,rus,,ru
Salishan languages,,,,,,"salishennes, langues",,,,,,sal,,
Samaritan Aramaic,,,,,,samaritain,,,,,,sam,,
Sami languages,,,,,,"sames, langues",,,,,,smi,,
Samoan,,,,,,samoan,,,,,,smo,,sm
Sandawe,,,,,,sandawe,,,,,,sad,,
Sango,,,,,,sango,,,,,,sag,,sg
Sanskrit,,,,,,sanskrit,,,,,,san,,sa
Santali,,,,,,santal,,,,,,sat,,
Sardinian,,,,,,sarde,,,,,,srd,,sc
Sasak,,,,,,sasak,,,,,,sas,,
Scots,,,,,,écossais,,,,,,sco,,
Scottish Gaelic,Gaelic,,,,,gaélique,gaélique écossais,,,,,gla,,gd
Selkup,,,,,,selkoupe,,,,,,sel,,
Semitic languages,,,,,,"sémitiques, langues",,,,,,sem,,
Serbian,,,,,,serbe,,,,,,srp,,sr
Serer,,,,,,sérère,,,,,,srr,,
Shan,,,,,,chan,,,,,,shn,,
Shona,,,,,,shona,,,,,,sna,,sn
Sichuan Yi,Nuosu,,,,,yi de Sichuan,,,,,,iii,,ii
Sicilian,,,,,,sicilien,,,,,,scn,,
Sidamo,,,,,,sidamo,,,,,,sid,,
Sign Languages,,,,,,langues des signes,,,,,,sgn,,
Siksika,,,,,,blackfoot,,,,,,bla,,
Sindhi,,,,,,sindhi,,,,,,snd,,sd
Sinhalese,Sinhala,,,,,singhalais,,,,,,sin,,si
Sino-Tibetan languages,,,,,,"sino-tibétaines, langues",,,,,,sit,,
Siouan languages,,,,,,"sioux, langues",,,,,,sio,,
Skolt Sami,,,,,,sami skolt,,,,,,sms,,
Slave (Athapascan),,,,,,esclave (athapascan),,,,,,den,,
Slavic languages,,,,,,"slaves, langues",,,,,,sla,,
Slovak,,,,,,slovaque,,,,,,slo,slk,sk
Slovenian,,,,,,slovène,,,,,,slv,,sl
Sogdian,,,,,,sogdien,,,,,,sog,,
Somali,,,,,,somali,,,,,,som,,so
Songhai languages,,,,,,"songhai, langues",,,,,,son,,
Soninke,,,,,,soninké,,,,,,snk,,
Sorbian languages,,,,,,"sorabes, langues",,,,,,wen,,
"Sotho, Southern",,,,,,sotho du Sud,,,,,,sot,,st
South American Indian languages,,,,,,"sud-amérindiennes, langues",,,,,,sai,,
Southern Altai,,,,,,altai du Sud,,,,,,alt,,
Southern Sami,,,,,,sami du Sud,,,,,,sma,,
Spanish,Castilian,,,,,espagnol,castillan,,,,,spa,,es
Sranan Tongo,,,,,,sranan tongo,,,,,,srn,,
Standard Moroccan Tamazight,,,,,,amazighe standard marocain,,,,,,zgh,,
Sukuma,,,,,,sukuma,,,,,,suk,,
Sumerian,,,,,,sumérien,,,,,,sux,,
Sundanese,,,,,,soundanais,,,,,,sun,,su
Susu,,,,,,soussou,,,,,,sus,,
Swahili,,,,,,swahili,,,,,,swa,,sw
Swati,,,,,,swati,,,,,,ssw,,ss
Swedish,,,,,,suédois,,,,,,swe,,sv
Syriac,,,,,,syriaque,,,,,,syr,,
Tagalog,,,,,,tagalog,,,,,,tgl,,tl
Tahitian,,,,,,tahitien,,,,,,tah,,ty
Tai languages,,,,,,"tai, langues",,,,,,tai,,
Tajik,,,,,,tadjik,,,,,,tgk,,tg
Tamashek,,,,,,tamacheq,,,,,,tmh,,
Tamil,,,,,,tamoul,,,,,,tam,,ta
Tatar,,,,,,tatar,,,,,,tat,,tt
Telugu,,,,,,télougou,,,,,,tel,,te
Tereno,,,,,,tereno,,,,,,ter,,
Tetum,,,,,,tetum,,,,,,tet,,
Thai,,,,,,thaï,,,,,,tha,,th
Tibetan,,,,,,tibétain,,,,,,tib,bod,bo
Tigre,,,,,,tigré,,,,,,tig,,
Tigrinya,,,,,,tigrigna,,,,,,tir,,ti
Timne,,,,,,temne,,,,,,tem,,
Tiv,,,,,,tiv,,,,,,tiv,,
Tlingit,,,,,,tlingit,,,,,,tli,,
Tok Pisin,,,,,,tok pisin,,,,,,tpi,,
Tokelau,,,,,,tokelau,,,,,,tkl,,
Tonga (Nyasa),,,,,,tonga (Nyasa),,,,,,tog,,
Tonga (Tonga Islands),,,,,,tongan (Îles Tonga),,,,,,ton,,to
Tsimshian,,,,,,tsimshian,,,,,,tsi,,
Tsonga,,,,,,tsonga,,,,,,tso,,ts
Tswana,,,,,,tswana,,,,,,tsn,,tn
Tumbuka,,,,,,tumbuka,,,,,,tum,,
Tupi languages,,,,,,"tupi, langues",,,,,,tup,,
Turkish,,,,,,turc,,,,,,tur,,tr
"Turkish, Ottoman (1500-1928)",,,,,,turc ottoman (1500-1928),,,,,,ota,,
Turkmen,,,,,,turkmène,,,,,,tuk,,tk
Tuvalu,,,,,,tuvalu,,,,,,tvl,,
Tuvinian,,,,,,touva,,,,,,tyv,,
Twi,,,,,,twi,,,,,,twi,,tw
Udmurt,,,,,,oudmourte,,,,,,udm,,
Ugaritic,,,,,,ougaritique,,,,,,uga,,
Uighur,Uyghur,,,,,ouïgour,,,,,,uig,,ug
Ukrainian,,,,,,ukrainien,,,,,,ukr,,uk
Umbundu,,,,,,umbundu,,,,,,umb,,
Uncoded languages,,,,,,langues non codées,,,,,,mis,,
Undetermined,,,,,,indéterminée,,,,,,und,,
Upper Sorbian,,,,,,haut-sorabe,,,,,,hsb,,
Urdu,,,,,,ourdou,,,,,,urd,,ur
Uzbek,,,,,,ouszbek,,,,,,uzb,,uz
Vai,,,,,,vaï,,,,,,vai,,
Venda,,,,,,venda,,,,,,ven,,ve
Vietnamese,,,,,,vietnamien,,,,,,vie,,vi
Volapük,,,,,,volapük,,,,,,vol,,vo
Votic,,,,,,vote,,,,,,vot,,
Wakashan languages,,,,,,"wakashanes, langues",,,,,,wak,,
Walloon,,,,,,wallon,,,,,,wln,,wa
Waray,,,,,,waray,,,,,,war,,
Washo,,,,,,washo,,,,,,was,,
Welsh,,,,,,gallois,,,,,,wel,cym,cy
Western Frisian,,,,,,frison occidental,,,,,,fry,,fy
Wolaitta,Wolaytta,,,,,wolaitta,wolaytta,,,,,wal,,
Wolof,,,,,,wolof,,,,,,wol,,wo
Xhosa,,,,,,xhosa,,,,,,xho,,xh
Yakut,,,,,,iakoute,,,,,,sah,,
Yao,,,,,,yao,,,,,,yao,,
Yapese,,,,,,yapois,,,,,,yap,,
Yiddish,,,,,,yiddish,,,,,,yid,,yi
Yoruba,,,,,,yoruba,,,,,,yor,,yo
Yupik languages,,,,,,"yupik, langues",,,,,,ypk,,
Zande languages,,,,,,"zandé, langues",,,,,,znd,,
Zapotec,,,,,,zapotèque,,,,,,zap,,
Zaza,Dimili,,,,,zaza,dimili,dimli,kirdki,kirmanjki,zazaki,zza,,
Zenaga,,,,,,zenaga,,,,,,zen,,
Zhuang,Zhuang,Dimli,Kirdki,Kirmanjki,Zazaki,zhuang,chuang,,,,,zha,,za
Zulu,,,,,,zoulou,,,,,,zul,,zu
Zuni,,,,,,zuni,,,,,,zun,,
